Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,Runner Count,Class,Going,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
Worcester,20230710,14:05,Richard Newland Racing Novices' Handicap Chase (GBB Race) (Class 4),-,222-111,1,Chief Black Robe,Mr Tom Broughton,F O'Brien,33,7,11.9,N,N,N,N,115,229,2m 7f,4,4, Good,130,0,12,1,4,Y,Jump,Turf,104
Worcester,20230710,14:05,Richard Newland Racing Novices' Handicap Chase (GBB Race) (Class 4),-,46-321P,P,Hardy Boy,Lorcan Williams,B Pauling,12,6,11.2,Y,N,N,N,108,242,2m 7f,4,4, Good,126,0,-11,2,2,Y,Jump,Turf,81
Worcester,20230710,14:05,Richard Newland Racing Novices' Handicap Chase (GBB Race) (Class 4),-,513-641,1,Tiger Orchid,Charlie Hammond,Dr R D P Newland,12,8,11.9,N,Y,N,Y,115,278,2m 7f,4,4, Good,124,0,-3,3,1,Y,Jump,Turf,105
Worcester,20230710,14:05,Richard Newland Racing Novices' Handicap Chase (GBB Race) (Class 4),-,196P-35,5,Moon King,Cian Chester,C E Longsdon,13,7,11.5,N,N,N,Y,111,232,2m 7f,4,4, Good,0,0,1,4,3,Y,Jump,Turf,-
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),5,2,2,Dark Encounter,C Lee,K R Burke,16,2,9.4,N,N,N,N,-,162,7f 50y,6,4, Good To Soft,82,1,3,1,4,N,Flat,Turf,61
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),2,7,7,Elemental Eye,P Mulrennan,I Jardine,16,2,9.4,N,N,N,N,-,67,7f 50y,6,4, Good To Soft,71,0,-3,2,5,N,Flat,Turf,53
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),1,1,1,Cerulean Bay,D Tudhope,D O'Meara,19,2,9.11,N,N,N,N,-,167,7f 50y,6,4, Good To Soft,79,0,10,3,3,N,Flat,Turf,44
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),4,4532,2,Land Lover,William Pyle,Craig Lidster,12,2,9.4,N,N,N,N,78,223,7f 50y,6,4, Good To Soft,88,-1,4,4,2,N,Flat,Turf,81
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),6,51,1,Catena,Jason Hart,Craig Lidster,20,2,9.3,N,N,Y,N,70,257,7f 50y,6,4, Good To Soft,78,0,6,5,1,N,Flat,Turf,49
Ayr,20230710,14:20,EBF Stallions Novice Stakes (GBB Race) (Class 4),3,-,-,Individualism,J Fanning,Charlie Johnston,-,2,9.4,N,N,N,N,-,46,7f 50y,6,4, Good To Soft,0,0,0,6,6,N,Flat,Turf,-
Worcester,20230710,14:35,FBC Manby Bowdler Handicap Chase (Class 3),-,313P-64,4,Topofthecotswolds,Sam Twiston-Davies,N A Twiston-Davies,17,9,12.0,N,N,Y,Y,125,204,2m 7f,5,3, Good,133,0,12,1,2,Y,Jump,Turf,116
Worcester,20230710,14:35,FBC Manby Bowdler Handicap Chase (Class 3),-,P556-58,8,Bothwell Bridge,Paul O'Brien,N J Henderson,17,8,11.8,N,N,N,N,119,73,2m 7f,5,3, Good,133,0,10,2,5,Y,Jump,Turf,116
Worcester,20230710,14:35,FBC Manby Bowdler Handicap Chase (Class 3),-,P5-5223,3,Lermoos Legend,S Bowen,P Bowen,16,8,10.12,Y,N,N,N,109,200,2m 7f,5,3, Good,131,1,-5,3,3,Y,Jump,Turf,117
Worcester,20230710,14:35,FBC Manby Bowdler Handicap Chase (Class 3),-,3F-0433,3,Kauto The King,Brendan Powell,Joe Tizzard,13,9,11.2,N,Y,N,N,113,179,2m 7f,5,3, Good,132,0,0,4,4,Y,Jump,Turf,114
Worcester,20230710,14:35,FBC Manby Bowdler Handicap Chase (Class 3),-,453-111,1,Pottlerath,Stan Sheppard,M Sheppard,30,8,11.4,N,N,N,Y,115,297,2m 7f,5,3, Good,125,1,2,5,1,Y,Jump,Turf,104
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),2,21/2324,4,Manila Scouse,Jason Hart,T D Easterby,15,4,9.7,Y,N,N,N,79,218,6f,9,3, Good To Soft,95,0,6,1,4,Y,Flat,Turf,85
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),7,327913,3,Walking On Clouds,Oliver Stammers,Grant Tuer,32,4,9.12,N,N,Y,Y,84,275,6f,9,3, Good To Soft,94,-1,12,2,2,Y,Flat,Turf,64
Ayr,20230710,14:55,Every Race Live On Racing TV Handicap (Class 3),8,471-076,6,Call Me Ginger,P Mulrennan,J S Goldie,22,7,10.1,N,N,Y,Y,87,121,6f,9,3, Good To Soft,97,-1,9,3,9,Y,Flat,Turf,51
