Venue,Date,Time,Race Name,Draw,Form,Last Form,Horse,Jockey,Trainer,Date Last Run,Age,Weight,Beaten Favourite,Course Winner,Distance Winner,Course & Distance Winner,OR,RDB Rating,Race Distance,Runner Count,Class,Going,RPR,Class Change,Weight Diff,WFF Rank,RDB Rank,Handi/Non Handi,Flat/Jump,Surface Type,Top Speed
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),2,7-02062,2,Korker,Tom Marquand,K R Burke,7,4,9.13,N,N,Y,N,102,236,5f 10y,6,2, Good To Soft,112,0,1,1,1.0,Y,Flat,Turf,99
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),1,602-535,5,Clarendon House,Billy Loughnane,R M H Cowell,27,5,10.0,N,N,Y,N,103,179,5f 10y,6,2, Good To Soft,110,-1,5,2,4.0,Y,Flat,Turf,93
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),3,220807,7,Arecibo,Hollie Doyle,R M H Cowell,7,8,9.1,N,N,Y,N,99,102,5f 10y,6,2, Good To Soft,111,0,1,3,6.0,Y,Flat,Turf,98
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),6,0-01057,7,Can To Can,Mia Nicholls,Adrian Nicholls,14,3,8.6,N,N,Y,N,86,131,5f 10y,6,2, Good To Soft,112,0,1,4,5.0,Y,Flat,Turf,103
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),5,371130,0,Dream Composer,D C Costello,H J Evans,13,5,9.7,N,N,Y,N,96,186,5f 10y,6,2, Good To Soft,112,0,6,5,3.0,Y,Flat,Turf,95
Sandown,20230707,13:55,Cavani Menswear Sartorial Sprint Handicap (Class 2),4,517064,4,Dubai Station,S M Levey,S C Williams,22,6,9.3,N,N,Y,N,92,188,5f 10y,6,2, Good To Soft,106,1,-4,6,2.0,Y,Flat,Turf,99
Doncaster,20230707,14:20,Luke Normanton Takepayments Handicap (Rnd) (Class 5),9,3-33052,2,Ravenglass,D Nolan,R A Fahey,10,4,9.13,N,N,Y,N,67,264,7f 213y,13,5, Good,79,0,5,1,2.0,Y,Flat,Turf,70
Doncaster,20230707,14:20,Luke Normanton Takepayments Handicap (Rnd) (Class 5),4,77159-D,D,Billy Mcgarry,Jason Watson,D C Griffiths,13,4,9.5,N,N,Y,N,59,169,7f 213y,13,5, Good,72,1,-6,2,9.0,Y,Flat,Turf,65
Doncaster,20230707,14:20,Luke Normanton Takepayments Handicap (Rnd) (Class 5),7,00-9737,7,Absolute Dream,Ethan Tindall,R A Fahey,7,7,9.11,N,N,N,Y,65,173,7f 213y,13,5, Good,75,0,0,3,8.0,Y,Flat,Turf,65
Doncaster,20230707,14:20,Luke Normanton Takepayments Handicap (Rnd) (Class 5),10,9/31-862,2,Night Arc,Thomas Greatrex,R Hannon,10,4,10.3,N,N,N,N,71,175,7f 213y,13,5, Good,76,0,3,4,6.0,Y,Flat,Turf,53
